,date,usd,jpy,eur,cny
1396,2009-11-11,"1,157.00","1,285.84","1,735.15",169.5
1397,2009-11-12,"1,158.50","1,290.81","1,737.05",169.71
1398,2009-11-13,"1,160.00","1,284.32","1,725.85",169.95
1399,2009-11-16,"1,154.00","1,287.95","1,730.42",169.06
1400,2009-11-17,"1,154.00","1,298.38","1,725.92",169.05
1401,2009-11-18,"1,153.50","1,294.03","1,717.79",168.98
1402,2009-11-19,"1,158.00","1,301.85","1,724.26",169.61
1403,2009-11-20,"1,160.00","1,305.57","1,729.44",169.9
1404,2009-11-23,"1,154.50","1,302.61","1,728.17",169.09
1405,2009-11-24,"1,158.50","1,306.82","1,726.17",169.64
1406,2009-11-25,"1,153.00","1,305.33","1,730.08",168.87
1407,2009-11-26,"1,155.50","1,331.22","1,743.65",169.26
1408,2009-11-27,"1,182.00","1,372.98","1,755.62",173.09
1409,2009-11-30,"1,161.00","1,347.34","1,749.63",170.07
1410,2009-12-01,"1,161.00","1,333.72","1,745.22",170.08
1411,2009-12-02,"1,154.50","1,324.12","1,740.64",169.12
1412,2009-12-03,"1,151.00","1,310.64","1,740.66",168.62
1413,2009-12-04,"1,150.00","1,304.30","1,735.24",168.47
1414,2009-12-07,"1,154.00","1,285.36","1,717.15",169.0
1415,2009-12-08,"1,157.00","1,300.29","1,713.52",169.46
1416,2009-12-09,"1,162.00","1,321.96","1,710.93",170.18
1417,2009-12-10,"1,164.50","1,323.75","1,712.63",170.6
1418,2009-12-11,"1,163.50","1,312.02","1,713.84",170.44
1419,2009-12-14,"1,158.00","1,307.29","1,699.94",169.58
1420,2009-12-15,"1,161.60","1,303.41","1,697.91",170.14
1421,2009-12-16,"1,164.50","1,298.94","1,692.83",170.56
1422,2009-12-17,"1,178.50","1,314.56","1,696.45",172.59
1423,2009-12-18,"1,177.00","1,309.96","1,692.29",172.38
1424,2009-12-21,"1,184.00","1,309.30","1,696.08",173.4
1425,2009-12-22,"1,179.00","1,293.33","1,689.51",172.66
1426,2009-12-23,"1,184.50","1,291.99","1,689.10",173.49
1427,2009-12-24,"1,176.00","1,289.90","1,689.68",172.24
1428,2009-12-28,"1,170.50","1,278.54","1,683.18",171.41
1429,2009-12-29,"1,170.50","1,275.75","1,687.63",171.41
1430,2009-12-30,"1,163.00","1,262.21","1,668.21",170.35
1431,2009-12-31,"1,159.00","1,256.10","1,671.05",169.79
1432,2010-01-04,"1,153.00","1,238.59","1,649.37",168.9
1433,2010-01-05,"1,140.50","1,241.16","1,648.59",167.06
1434,2010-01-06,"1,138.50","1,235.62","1,630.90",166.75
1435,2010-01-07,"1,135.50","1,225.18","1,633.76",166.31
1436,2010-01-08,"1,132.00","1,213.29","1,621.36",165.8
1437,2010-01-11,"1,119.50","1,212.10","1,623.61",164.01
1438,2010-01-12,"1,123.00","1,223.31","1,630.26",164.52
1439,2010-01-13,"1,125.50","1,234.37","1,631.41",164.88
1440,2010-01-14,"1,121.70","1,221.50","1,630.62",164.32
1441,2010-01-15,"1,124.00","1,236.25","1,621.26",164.65
1442,2010-01-18,"1,125.50","1,236.95","1,618.24",164.87
1443,2010-01-19,"1,127.00","1,245.58","1,624.01",165.09
1444,2010-01-20,"1,137.50","1,251.10","1,615.82",166.63
1445,2010-01-21,"1,138.50","1,244.13","1,604.37",166.78
1446,2010-01-22,"1,146.00","1,267.00","1,621.59",167.88
1447,2010-01-25,"1,149.50","1,273.68","1,625.62",168.39
1448,2010-01-26,"1,164.00","1,291.18","1,639.96",170.52
1449,2010-01-27,"1,162.50","1,301.06","1,633.89",170.29
1450,2010-01-28,"1,151.50","1,275.19","1,614.98",168.68
1451,2010-01-29,"1,157.00","1,281.85","1,614.36",169.49
1452,2010-02-01,"1,168.00","1,292.75","1,622.12",171.1
1453,2010-02-02,"1,159.00","1,278.40","1,616.81",169.78
1454,2010-02-03,"1,148.50","1,271.31","1,606.06",168.24
1455,2010-02-04,"1,153.00","1,266.75","1,598.87",168.9
1456,2010-02-05,"1,171.00","1,308.67","1,603.33",171.54
1457,2010-02-08,"1,172.00","1,309.94","1,602.71",171.68
1458,2010-02-09,"1,161.50","1,296.75","1,595.32",170.16
1459,2010-02-10,"1,158.50","1,290.23","1,597.22",169.69
1460,2010-02-11,"1,157.10","1,286.10","1,594.83",169.4
1461,2010-02-12,"1,153.00","1,280.83","1,573.73",168.84
1462,2010-02-16,"1,151.00","1,281.31","1,573.07",168.57
1463,2010-02-17,"1,143.50","1,267.60","1,573.34",167.47
1464,2010-02-18,"1,148.50","1,263.89","1,556.91",168.09
1465,2010-02-19,"1,160.50","1,262.79","1,564.35",169.94
1466,2010-02-22,"1,147.50","1,253.41","1,563.93",168.07
1467,2010-02-23,"1,146.50","1,260.86","1,567.27",167.94
1468,2010-02-24,"1,154.00","1,277.54","1,560.79",169.05
1469,2010-02-25,"1,162.00","1,300.21","1,565.91",170.22
1470,2010-02-26,"1,159.00","1,297.15","1,573.34",169.78
1471,2010-03-02,"1,153.00","1,291.73","1,560.59",168.89
1472,2010-03-03,"1,147.00","1,290.50","1,562.10",168.05
1473,2010-03-04,"1,146.00","1,297.85","1,564.18",167.91
1474,2010-03-05,"1,141.00","1,276.00","1,549.36",167.17
1475,2010-03-08,"1,131.50","1,251.94","1,550.04",165.75
1476,2010-03-09,"1,135.00","1,261.95","1,544.62",166.27
1477,2010-03-10,"1,132.00","1,257.50","1,536.69",165.86
1478,2010-03-11,"1,133.00","1,254.01","1,544.05",166.0
1479,2010-03-12,"1,128.30","1,245.64","1,546.34",165.34
1480,2010-03-15,"1,134.70","1,252.15","1,559.87",166.24
1481,2010-03-16,"1,134.50","1,256.23","1,550.29",166.21
1482,2010-03-17,"1,128.30","1,247.43","1,557.51",165.31
1483,2010-03-18,"1,133.70","1,258.13","1,548.41",166.09
1484,2010-03-19,"1,132.70","1,252.29","1,542.28",165.95
1485,2010-03-22,"1,136.50","1,254.00","1,536.09",166.49
1486,2010-03-23,"1,138.50","1,262.20","1,538.11",166.79
1487,2010-03-24,"1,137.50","1,255.66","1,527.66",166.65
1488,2010-03-25,"1,141.00","1,242.78","1,521.98",167.13
1489,2010-03-26,"1,139.50","1,230.16","1,522.26",166.91
1490,2010-03-29,"1,133.00","1,222.62","1,528.30",165.99
1491,2010-03-30,"1,131.00","1,222.17","1,528.43",165.7
1492,2010-03-31,"1,129.00","1,210.20","1,516.81",165.41
1493,2010-04-01,"1,126.50","1,203.53","1,522.13",165.03
1494,2010-04-02,"1,126.00","1,198.51","1,526.52",164.98
1495,2010-04-05,"1,122.50","1,187.45","1,513.69",164.46
1496,2010-04-06,"1,122.70","1,197.04","1,506.10",164.49
1497,2010-04-07,"1,121.00","1,194.84","1,500.79",164.25
1498,2010-04-08,"1,124.00","1,206.01","1,494.13",164.68
1499,2010-04-09,"1,116.00","1,192.69","1,495.22",163.55
1500,2010-04-12,"1,115.50","1,194.07","1,518.98",163.45
1501,2010-04-13,"1,122.00","1,202.96","1,526.48",164.39
1502,2010-04-14,"1,113.50","1,192.06","1,517.70",163.14
1503,2010-04-15,"1,109.50","1,191.60","1,509.25",162.56
1504,2010-04-16,"1,110.30","1,198.51","1,502.68",162.68
1505,2010-04-19,"1,120.00","1,219.25","1,507.18",164.08
1506,2010-04-20,"1,116.00","1,201.68","1,503.59",163.5
1507,2010-04-21,"1,108.50","1,189.25","1,489.27",162.37
1508,2010-04-22,"1,108.30","1,190.95","1,487.23",162.38
1509,2010-04-23,"1,109.50","1,188.41","1,472.08",162.51
1510,2010-04-26,"1,104.10","1,172.33","1,477.84",161.73
1511,2010-04-27,"1,112.00","1,185.63","1,486.19",162.91
1512,2010-04-28,"1,119.50","1,200.02","1,476.40",164.01
1513,2010-04-29,"1,114.90","1,185.56","1,472.23",163.36
1514,2010-04-30,"1,107.00","1,176.03","1,472.09",162.19
1515,2010-05-03,"1,117.50","1,189.84","1,477.78",163.75
1516,2010-05-04,"1,116.50","1,177.74","1,470.10",163.56
1517,2010-05-06,"1,144.00","1,222.22","1,465.24",167.59
1518,2010-05-07,"1,153.00","1,251.22","1,468.35",168.9
1519,2010-05-10,"1,127.00","1,206.90","1,469.95",165.12
1520,2010-05-11,"1,135.70","1,225.93","1,446.77",166.33
1521,2010-05-12,"1,139.00","1,225.52","1,443.11",166.83
1522,2010-05-13,"1,128.00","1,208.49","1,425.45",165.21
1523,2010-05-14,"1,133.10","1,221.93","1,420.91",165.99
1524,2010-05-17,"1,153.50","1,253.12","1,416.38",168.94
1525,2010-05-18,"1,143.50","1,232.62","1,414.74",167.51
1526,2010-05-19,"1,165.10","1,267.10","1,422.00",170.66
1527,2010-05-20,"1,189.00","1,299.45","1,477.93",174.16
1528,2010-05-24,"1,214.50","1,344.51","1,518.37",177.89
1529,2010-05-25,"1,272.00","1,417.74","1,554.26",186.26
1530,2010-05-26,"1,253.30","1,390.24","1,540.31",183.47
1531,2010-05-27,"1,224.00","1,356.83","1,503.93",179.17
1532,2010-05-28,"1,191.00","1,304.78","1,481.60",174.36
1533,2010-05-31,"1,202.50","1,315.50","1,479.68",176.06
1534,2010-06-01,"1,227.00","1,352.81","1,494.24",179.71
1535,2010-06-03,"1,204.00","1,301.90","1,480.20",176.33
1536,2010-06-04,"1,201.80","1,296.16","1,464.27",176.0
1537,2010-06-07,"1,234.00","1,348.49","1,473.27",180.67
1538,2010-06-08,"1,233.40","1,350.49","1,473.67",180.56
1539,2010-06-09,"1,253.00","1,371.65","1,496.83",183.47
1540,2010-06-10,"1,248.00","1,367.67","1,505.59",182.73
1541,2010-06-11,"1,251.00","1,366.47","1,513.71",183.14
1542,2010-06-14,"1,223.50","1,329.17","1,492.30",179.08
1543,2010-06-15,"1,228.00","1,345.75","1,496.44",179.71
1544,2010-06-16,"1,212.00","1,321.70","1,489.43",177.37
1545,2010-06-17,"1,213.50","1,328.41","1,496.61",177.59
1546,2010-06-18,"1,197.00","1,320.46","1,484.28",175.25
1547,2010-06-21,"1,174.00","1,290.39","1,457.87",172.65
1548,2010-06-22,"1,183.00","1,304.16","1,457.46",173.72
1549,2010-06-23,"1,185.00","1,309.54","1,456.37",174.01
1550,2010-06-24,"1,196.00","1,335.57","1,467.85",175.6
1551,2010-06-25,"1,217.00","1,356.74","1,498.13",179.15
1552,2010-06-28,"1,204.00","1,347.06","1,489.71",177.26
1553,2010-06-29,"1,217.00","1,372.35","1,484.37",179.12
1554,2010-06-30,"1,219.00","1,375.38","1,489.01",179.58
1555,2010-07-01,"1,227.00","1,388.79","1,507.98",180.94
1556,2010-07-02,"1,227.00","1,394.32","1,534.61",181.18
1557,2010-07-05,"1,225.00","1,394.42","1,535.42",180.92
1558,2010-07-06,"1,218.50","1,386.87","1,534.70",179.77
1559,2010-07-07,"1,223.00","1,404.62","1,537.80",180.42
1560,2010-07-08,"1,208.00","1,371.17","1,529.57",178.28
1561,2010-07-09,"1,196.50","1,351.98","1,519.32",176.65
1562,2010-07-12,"1,203.50","1,354.99","1,514.00",177.74
1563,2010-07-13,"1,211.00","1,368.21","1,518.59",178.74
1564,2010-07-14,"1,199.00","1,348.71","1,526.21",177.05
1565,2010-07-15,"1,201.00","1,362.91","1,536.68",177.27
1566,2010-07-16,"1,202.00","1,380.66","1,555.99",177.42
1567,2010-07-19,"1,214.50","1,397.58","1,575.57",179.22
1568,2010-07-20,"1,208.00","1,390.90","1,568.71",178.26
1569,2010-07-21,"1,204.50","1,385.76","1,549.23",177.71
1570,2010-07-22,"1,203.00","1,388.66","1,544.41",177.48
1571,2010-07-23,"1,195.50","1,373.35","1,549.97",176.37
1572,2010-07-26,"1,189.00","1,363.84","1,534.64",175.34
1573,2010-07-27,"1,181.30","1,351.91","1,536.52",174.34
1574,2010-07-28,"1,186.00","1,348.03","1,542.39",174.92
1575,2010-07-29,"1,184.50","1,358.68","1,548.85",174.8
1576,2010-07-30,"1,184.50","1,372.22","1,544.23",174.89
1577,2010-08-02,"1,174.00","1,352.69","1,534.18",173.36
1578,2010-08-03,"1,168.50","1,359.20","1,545.93",172.49
1579,2010-08-04,"1,170.00","1,368.42","1,543.23",172.74
1580,2010-08-05,"1,165.00","1,349.94","1,531.28",172.02
1581,2010-08-06,"1,163.00","1,350.28","1,534.00",171.75
1582,2010-08-09,"1,161.00","1,356.94","1,542.97",171.61
1583,2010-08-10,"1,168.00","1,362.58","1,539.42",172.47
1584,2010-08-11,"1,182.00","1,387.00","1,544.87",174.49
1585,2010-08-12,"1,189.00","1,394.07","1,529.29",175.27
1586,2010-08-13,"1,187.00","1,381.04","1,525.89",174.8
1587,2010-08-16,"1,188.50","1,384.39","1,520.69",174.74
1588,2010-08-17,"1,175.60","1,378.19","1,515.11",173.04
1589,2010-08-18,"1,172.20","1,371.48","1,508.97",172.58
1590,2010-08-19,"1,173.50","1,369.95","1,503.25",172.84
1591,2010-08-20,"1,183.00","1,385.57","1,510.57",174.28
1592,2010-08-23,"1,182.00","1,384.89","1,502.32",173.86
1593,2010-08-24,"1,193.00","1,412.17","1,507.12",175.46
1594,2010-08-25,"1,193.00","1,409.83","1,514.27",175.51
1595,2010-08-26,"1,192.00","1,408.48","1,512.41",175.3
1596,2010-08-27,"1,196.50","1,411.80","1,520.75",176.01
1597,2010-08-30,"1,192.00","1,404.67","1,517.77",175.25
1598,2010-08-31,"1,198.10","1,420.73","1,519.07",175.96
1599,2010-09-01,"1,184.50","1,407.61","1,510.83",173.89
1600,2010-09-02,"1,180.00","1,402.76","1,513.11",173.33
1601,2010-09-03,"1,177.00","1,395.05","1,510.09",173.01
1602,2010-09-06,"1,171.20","1,393.12","1,510.85",172.54
1603,2010-09-07,"1,178.50","1,404.15","1,504.83",173.58
1604,2010-09-08,"1,172.00","1,397.23","1,485.51",172.47
1605,2010-09-09,"1,166.00","1,392.57","1,481.87",171.86
1606,2010-09-10,"1,165.00","1,389.88","1,484.21",172.16
1607,2010-09-13,"1,159.50","1,379.37","1,485.32",171.54
1608,2010-09-14,"1,160.50","1,393.16","1,495.54",172.03
1609,2010-09-15,"1,163.00","1,360.39","1,508.29",172.71
1610,2010-09-16,"1,163.00","1,358.80","1,518.65",172.86
1611,2010-09-17,"1,159.50","1,350.30","1,524.74",172.42
1612,2010-09-20,"1,161.00","1,355.04","1,520.33",173.06
1613,2010-09-24,"1,154.50","1,365.30","1,544.72",172.49
1614,2010-09-27,"1,148.00","1,363.10","1,542.91",171.65
1615,2010-09-28,"1,148.00","1,362.61","1,540.96",171.21
1616,2010-09-29,"1,142.00","1,366.36","1,551.98",170.79
1617,2010-09-30,"1,136.50","1,365.49","1,548.71",169.84
1618,2010-10-01,"1,126.00","1,352.07","1,544.53",168.27
1619,2010-10-04,"1,126.00","1,353.20","1,541.49",168.31
1620,2010-10-05,"1,128.00","1,353.33","1,554.16",168.58
1621,2010-10-06,"1,118.80","1,346.82","1,550.88",167.19
1622,2010-10-07,"1,117.50","1,354.22","1,561.71",167.0
1623,2010-10-08,"1,123.50","1,364.13","1,562.23",168.37
1624,2010-10-11,"1,119.50","1,363.91","1,561.70",167.92
1625,2010-10-12,"1,134.00","1,382.93","1,562.65",169.9
1626,2010-10-13,"1,121.00","1,368.24","1,567.83",167.97
1627,2010-10-14,"1,111.00","1,369.07","1,563.18",166.89
1628,2010-10-15,"1,112.50","1,370.41","1,568.07",167.38
1629,2010-10-18,"1,119.50","1,378.02","1,552.52",168.5
1630,2010-10-19,"1,127.00","1,385.20","1,569.57",169.58
1631,2010-10-20,"1,129.00","1,390.05","1,559.94",169.67
1632,2010-10-21,"1,127.50","1,391.29","1,582.67",169.63
1633,2010-10-22,"1,130.00","1,390.26","1,569.46",169.74
1634,2010-10-25,"1,116.00","1,386.16","1,566.19",167.59
1635,2010-10-26,"1,119.00","1,380.63","1,561.34",167.87
1636,2010-10-27,"1,131.00","1,380.45","1,561.91",169.35
1637,2010-10-28,"1,125.50","1,383.70","1,555.89",168.21
1638,2010-10-29,"1,125.00","1,392.50","1,554.86",168.47
1639,2010-11-01,"1,117.00","1,387.75","1,559.89",167.17
1640,2010-11-02,"1,112.50","1,380.96","1,552.83",166.49
1641,2010-11-03,"1,106.00","1,371.53","1,552.27",165.79
1642,2010-11-04,"1,105.00","1,364.20","1,569.65",165.64
1643,2010-11-05,"1,107.00","1,372.77","1,571.39",166.4
1644,2010-11-08,"1,114.00","1,371.92","1,555.59",166.73
1645,2010-11-09,"1,113.00","1,376.28","1,541.51",167.33
1646,2010-11-10,"1,110.00","1,359.46","1,534.24",167.27
1647,2010-11-11,"1,108.00","1,348.59","1,525.16",167.23
1648,2010-11-12,"1,128.00","1,376.45","1,538.93",169.89
1649,2010-11-15,"1,137.00","1,370.54","1,549.16",171.03
1650,2010-11-16,"1,127.50","1,355.66","1,534.53",169.71
1651,2010-11-17,"1,148.00","1,375.18","1,550.26",172.68
1652,2010-11-18,"1,133.00","1,361.62","1,542.24",170.77
1653,2010-11-19,"1,131.00","1,358.56","1,549.13",170.3
1654,2010-11-22,"1,127.00","1,350.83","1,548.39",169.78
1655,2010-11-23,"1,160.00","1,387.06","1,574.70",174.58
1656,2010-11-24,"1,148.50","1,383.57","1,532.67",172.62
1657,2010-11-25,"1,138.00","1,363.04","1,518.09",171.04
